,title,price,description,date_posted,address,url,Description
0,Direct Tools Canada Price Chop Up to 50% OFF Ryobi & Ridgid,,,2022-11-01,"Concord, ON L4K 1Y6",https://www.kijiji.ca/v-power-tool/markham-york-region/direct-tools-canada-price-chop-up-to-50-off-ryobi-ridgid/1638979828,"Come to Direct Tools Canada and shop from a wide assortment of Ryobi, and Ridgid Factory Blemished Power Tools.
*From Nov 1st - 3rd, you can save up to 50% on select Factory Blemished Power Tools!Call us at the store for pricing and availability at 905-597-3554.*Price Chop Sale offer valid 11/01/2022-11/03/2022 at 4:59 PM ESTDIRECT TOOLS CANADA
7855 Keele St. Unit #3
Vaughan
905-597-3554Mon-Sun, 9 am - 5 pm*Price Chop sale valid at Direct Tools Canada location only 11/01/2022 - 11/03/2022 4:59 PM EST. Address: 7855 Keele Street – Unit 3, Vaughan, Ontario, Canada. Cannot be combined with any other discount or offer. Excludes gift cards and prior purchases. Items designated with “final price“ are ineligible for promotion. Limit of 5 like items per customer. Exclusions apply."
1,Air Compressor 10HP 52.5CFM,"$2,500",,2022-10-25,"North York, ON M6B 3Z4",https://www.kijiji.ca/v-power-tool/city-of-toronto/air-compressor-10hp-52-5cfm/1638121709,"10HP Fusheng TA-100 Air Compressor
52.5 CFM
Leeson 575 Volt motor.
Two 80-gallon tanks with Auto drains.
Clean well maintained."
2,7' and 10' Workbench / Tool cabinet,"$2,400",,2022-10-14,"40 Adesso Drive, Concord, ON, L4K 3C6",https://www.kijiji.ca/v-tool-storage-bench/city-of-toronto/7-and-10-workbench-tool-cabinet/1594826873,LARGE LOCAL INVENTORY AND PARTS SERVICE7 ft-8 drawers: 2400 plus taxes 7 ft-10 drawers: 1999 plus taxes 7ft-16 drawers: 2700 plus taxes 7ft-18 drawers: 2950 plus taxes 7ft-20 drawers: 2190 plus taxes 7ft-32 drawers: 2999 plus taxes 10ft-15 drawers: 2499 plus taxes 10ft-25 drawers: 2650 plus taxes 10ft30 drawers: 3100 plus taxes10ft30 drawers (stainless steel silver): 3499 plus taxes 10ft-40 drawers: 3499 plus taxesAvailable options: top: steel / stainless steel color: blue / red / black
3,Bon Tool Paver/brick breaker,$200,,2022-11-01,"Newmarket, ON L3Y6K1",https://www.kijiji.ca/v-hand-tool/markham-york-region/bon-tool-paver-brick-breaker/1639002405,Bon Tool 10”paver or brick breaker for sale in good condition for only $200.00 or best offer. This unit retails new for over $500.00
4,Brand New Electric Pallet Jacks In Stock-4400LBS-Lithium Battery,"$2,799",,2022-11-02,"Church Street North, Stouffville, ON",https://www.kijiji.ca/v-power-tool/city-of-toronto/brand-new-electric-pallet-jacks-in-stock-4400lbs-lithium-battery/1639071501,"Compact and easy to maneuver:
*Load capacity: 4400 LBS
*Fork Size: 45"" long
*Rechargeable battery: 20Ah Lithium Ion
*Drive motor: 0.75kW
*Wheel diameter 3.15""
*Weight (without battery): 302 lbs.
*Pickup or delivery availableWarehouse located at 70 Great Gulf Drive, Unit 65, Vaughan (407/Keele).
By appointment. Call/text us at: 416.871.0850WellLift.ca
70 Great Gulf Drive, Unit 65
Vaughan, ON
L4K 0K7 Canada
416.871.0850
judy@WellLift.ca
www.WellLift.caFull Specs for the E-Pallet Jack:Power: Electric
Operator type: Pedestrian
Load capacity / Rated load: 1.5 Q (t)
Load centre distance: 600 c (mm)
Load distance, centre of drive axle to fork 944 x (mm)
Wheelbase: 1243 y (mm)Service weight (without the battery): 137 kgWheels type: PU
Drive wheel size (diameter x width): 210mm x 70mm
Fork wheels size (diameter x width): 80mm x 60mm
Wheels, number front/rear (x=driven) 1x/4
Tread, rear: 400/535 b11 (mm): 400/535Lift height: 200mm
Height of tiller in drive position min/max: 740mm/1160mm
Lowered height: 85mm
Overall length: 1603mm
Length to face of forks: 453mm
https://youtube.com/watch?v=OaR7od0c7nYOverall width: 550mm/685mm
Ground clearance, centre of wheelbase: 35mm
Aisle width for pallet 1000mm x 1200mm crossways
Aisle width for pallet 800mm x 1200mm lengthways
Min. turning radius 1398mmTravel speed (laden/unladen): 4.2kg/4.5kg
Lifting speed (laden/unladen): 0.03m/s/0.041m/s
Gradeability (laden/unladen): 5%/10%
Service brake: ElectromagneticDrive motor rating S2 60min. 0.75kW
Lift motor rating at S3 15%: 0.8kBattery voltage / rated capacity: 24/20 V/Ah
Battery weight (+- 5%): 5.5kgBattery voltage / rated capacity: 24/30 V/Ah
Battery weight (+- 5%): 7kgBattery voltage / rated capacity: 24/40 V/Ah
Battery weight (+- 5%): 8.2kgType of drive control: DC
Sound level at driver's ear: <= 70 db(A)
Steering type: Mechanical steeringKeywords: pallet jack, pallet truck, pallet lift, electric, pump truck"
5,Air compressor ,$100,,2022-11-03,"Milton, ON L9T8V6",https://www.kijiji.ca/v-power-tool/oakville-halton-region/air-compressor/1639229315,"2 gallon
Please refer to picture #3 for more air compressor specifics
Selling as I’m downsizing (don’t have space)"
6,Klein tools ,$25,,2022-11-03,"Toronto, ON M8W",https://www.kijiji.ca/v-hand-tool/mississauga-peel-region/klein-tools/1639229121,"New Klein
Demolition screw driver
Metal smash plate
$25
"
7,Channel lock,$25,,2022-11-03,"Toronto, ON M8W",https://www.kijiji.ca/v-hand-tool/mississauga-peel-region/channel-lock/1639228901,"10 inch
Tongue and grove design
Made in the USA
Hardened steel
$25"
8,TOOLS for sale,,,2022-11-03,"North York, ON M2R",https://www.kijiji.ca/v-tool-other/city-of-toronto/tools-for-sale/1639228582,Manual- Post hole digger- Pressure Washer- Portable air tank-
9,Small air compressor,$15,,2022-11-03,"Oshawa, ON L1G 4G8",https://www.kijiji.ca/v-power-tool/oshawa-durham-region/small-air-compressor/1639228372,"Small PIT STOP 12V air compressor. Brand new still in original packaging.
If ad is still listed / still available"
