,title,price,description,date_posted,address,url
0,Salvatore Ferragamo Men's 1898 Watch,$600,"FF3840015
Two-Tone SS Silver-Tone Dial
Swiss Made
41mm
Purchased in 2015
Comes with original box and papers
Recently serviced
600$ OBO
Open to offers. Message to negotiate price.
",2022-11-02,"Windsor, ON N8W2H9",https://www.kijiji.ca/v-jewelry-watch/windsor-area-on/salvatore-ferragamo-mens-1898-watch/1639127235
1,Apple Watch Series 7 (New),$465,"Apple Watch Series 7 - 45mm (New)Sale barely used Apple Watch Series 7 (45 mm) Midnight Aluminum Case with Midnight Sport Band.
Comes with original packaging and charger as well original receipt for warranty.Retail Value is $644.09 (Including Taxes)",2022-10-31,"Ancaster, ON L9K 1J9",https://www.kijiji.ca/v-jewelry-watch/hamilton/apple-watch-series-7-new/1637890310
2,Rolex Cellini 18K Watch Gift Of King Faisal Saudi Arabia 1971,,"Vintage Rolex Cellini wristwatch in 18K gold with GIA certificate. Manual wind, working well. This watch given as a gift to a diplomat by The King of Saudi Arabia, King Faisal in 1971. One owner, very well looked after. New leather strap, original Rolex fittings. Retail is $7800.00 Serious offers considered.",2022-10-18,"North York, ON M9M 1C3",https://www.kijiji.ca/v-jewelry-watch/city-of-toronto/rolex-cellini-18k-watch-gift-of-king-faisal-saudi-arabia-1971/1636614347
3,CALGARY WATCH BUYER • WE BUY ROLEX CARTIER ETC ►587-707-1442◄,,"CALGARY WATCH BUYER IS BUYING:ROLEX, CARTIER, BREITLING, AUDEMARS PIGUET, PIAGET, HUBLOT, OMEGA, PATEK PHILIPPE, VACHERON CONSTANTIN, PANERAI, BREGUET, JAEGER LECOULTRE, BELL & ROSS, ULYSSE NARDIN, CORUM, TAG HEUER, CHANEL, HARRY WINSTON, ROGER DUBUIS, RICHARD MILLE, FRANCK MULLER, IWC, A LANGE & SOHNE, GLASHUTTE, ZENITH, MONTBLANC, TUDOR,GRAHAM, LOUIS VUITTON, CHOPARDWE PAY THE HIGHEST PRICES IN CALGARY ON YOUR NEW, USED OR VINTAGE WATCHES.WE OFFER :- LOANS FOR WATCHES.
- FREE PARKING.
- OVER 15 YEARS EXPERIENCE BUYING & SELLING WATCHES.
- CASH PAYMENT ON THE SPOT.NOT READY TO PART WITH YOUR WATCH? WE CAN OFFER A LOAN AGAINST IT FOR A VERY REASONABLE PRICE.SAFE, SECURE & PROFESSIONAL SERVICE IS OUR GOAL. HAVE THE CONFIDENCE OF DEALING WITH A STORE THAT HAS SERVED THOUSANDS OF KIJIJI CUSTOMERS.SMART GOLD CALGARY
JEWELLERY & LOAN
222 16 Ave NE
CALGARY, ALBERTA
T2E-1J8OPEN MONDAY - FRIDAY 10AM - 6PM
SATURDAY 11AM - 5PMCALL ANYTIME 587-707-1442www.smartgoldcalgary.com",2022-09-27,"222 16 Ave NE, Calgary, AB T2E 1J8, Canada",https://www.kijiji.ca/v-jewelry-watch/calgary/calgary-watch-buyer-we-buy-rolex-cartier-etc-587-707-1442/551657060
4,Apple Watch 6 GPS,$550,"40 mm Apple Watch 6 GPS - approx. 1.5 years old
All bands are S/M, purple solo band size 4
Original boxes for three of the bands (shown) and watch
Original apple charger included",2022-10-30,"Keswick, ON L4P 3Y4",https://www.kijiji.ca/v-jewelry-watch/markham-york-region/apple-watch-6-gps/1638777633
5,Christopher Ward C8 Flyer - Mark 1 Automatic,$420,"Very difficult to find!
38mm! 41mm including crown!
Elegant watch very much in the vein of a Rolex Explorer - that's the feel they've gone for with this. Crown is large and add character to the timepiece.
The original leather strap is included but I have it on a Perlon grey strap that I find looks much better and is more comfortable to wear especially in the summer.
Full kit and papers.
Can meet in Etobicoke, Liberty Village or Vaughan",2022-11-03,"Etobicoke, ON M8Z 2S6",https://www.kijiji.ca/v-jewelry-watch/city-of-toronto/christopher-ward-c8-flyer-mark-1-automatic/1581821375
6,Vintage Mathey-Tissot Automatic Swiss Ladies Watch,$70,"Extremely Rare!
Excellent Condition! Recently Serviced! Fantastic Automatic Movement.
- 20mm Stainless steel case
- Stainless Steel Mesh Bracelet
- Will fit up to 7 inch wrist
** Check My Other Ads **",2022-11-03,"Etobicoke, ON M8Z 2S6",https://www.kijiji.ca/v-jewelry-watch/city-of-toronto/vintage-mathey-tissot-automatic-swiss-ladies-watch/1544884222
7,APPLE WATCH SERIES 8 41MM AND 45MM GPS ,$499,"BRAND NEW APPLE WATCH SERIES 8 41MM AND 45MM GPS
COMES WITH RECEIPT AND WARRANTY
PICKUP: CELLMART UNIT 1E38, 7205 GOREWAY DRIVE, MISSISSAUGA ONTARIO L4T2T9 ",2022-11-03,"Oakville, ON L6H",https://www.kijiji.ca/v-jewelry-watch/oakville-halton-region/apple-watch-series-8-41mm-and-45mm-gps/1639226108
8,Legend of Zelda watch like new ,$20,Legend of Zelda wrist watch. Like new. Never worn ,2022-11-03,"Ottawa, ON K2C0C8",https://www.kijiji.ca/v-jewelry-watch/ottawa/legend-of-zelda-watch-like-new/1639224927
9,Apple Watch s7/8 titanium band,$70,"Apple Watch s7/8 titanium band 45mm black
Screen protect
70",2022-11-03,"Toronto, ON M2N6E8",https://www.kijiji.ca/v-jewelry-watch/city-of-toronto/apple-watch-s7-8-titanium-band/1639224450
